Date,Cases,Deaths,Recovered,Travel_history,Province,City,masks,sanitizers
2/26/2020,1,0,0,China,Islamabad Capital Territory,Islamabad,951,882
2/26/2020,2,0,0,Iran/Taftan,Sindh,Karachi,840,4944
2/29/2020,1,0,0,China,Islamabad Capital Territory,Islamabad,997,1001
2/29/2020,1,0,0,Iran/Taftan,Sindh,Karachi,861,2287
3/2/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit,633,1649
3/6/2020,0,0,1,Unknown,Sindh,Karachi,974,4334
3/7/2020,1,0,0,Iran/Taftan,Sindh,Karachi,636,2789
3/9/2020,6,0,0,Syria,Sindh,Karachi,839,4332
3/9/2020,3,0,0,UK,Sindh,Karachi,860,2153
3/10/2020,1,0,0,Iran/Taftan,Sindh,Karachi,691,3989
3/10/2020,1,0,0,Syria,Sindh,Hyderabad,548,3536
3/10/2020,1,0,0,Iran/Taftan,Baluchistan,Quetta,865,1456
3/11/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu,585,738
3/11/2020,0,0,1,Iran/Taftan,Sindh,Karachi,816,3759
3/12/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit,933,3020
3/13/2020,1,0,0,USA,Islamabad Capital Territory,Islamabad,615,4542
3/13/2020,1,0,1,Local - Social Contact,Sindh,Karachi,958,4049
3/13/2020,7,0,0,Iran/Taftan,Baluchistan,Taftan,655,1330
3/15/2020,13,0,0,Iran/Taftan,Sindh,Sukkur,608,3440
3/15/2020,4,0,0,Iran/Taftan,Sindh,Karachi,769,1536
3/15/2020,1,0,0,UK,Punjab,Lahore,893,4268
3/15/2020,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan,561,2677
3/15/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Mardan,643,4524
3/16/2020,119,0,0,Iran/Taftan,Sindh,Sukkur,849,3287
3/16/2020,26,0,0,Iran/Taftan,Sindh,Karachi,854,895
3/16/2020,2,0,0,Iran/Taftan,Sindh,Hyderabad,815,3847
3/16/2020,1,0,0,Unknown,Punjab,Lahore,518,3709
3/16/2020,1,0,1,Unknown,Islamabad Capital Territory,Islamabad,770,1459
3/16/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Mansehra,602,2908
3/16/2020,1,0,0,Unknown,Khyber Pakhtunkhwa,Mardan,849,4225
3/17/2020,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,940,943
3/17/2020,24,0,0,Iran/Taftan,Sindh,Sukkur,765,2606
3/17/2020,5,0,0,KSA,Sindh,Karachi,551,3989
3/17/2020,3,0,0,Unknown,Punjab,Lahore,952,4289
3/17/2020,1,0,0,Unknown,khyber Pakhtunkhwa,Peshawar,937,3281
3/17/2020,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda,809,4064
3/17/2020,2,0,0,Iran/Taftan,Baluchistan,Quetta,827,2730
3/17/2020,1,0,0,Unknown,Islamabad Capital Territory,Islamabad,815,3320
3/18/2020,2,0,0,Unknown,Islamabad Capital Territory,Islamabad,670,2793
3/18/2020,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,861,2903
3/18/2020,31,0,0,Iran/Taftan,Sindh,Sukkur,910,2734
3/18/2020,5,0,0,Local - Social Contact,Sindh,Karachi,822,1342
3/18/2020,10,0,0,Unknown,Gilgit-Baltistan,Gilgit,858,2988
3/18/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner,509,2692
3/18/2020,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan ,729,888
3/18/2020,1,1,0,Unknown,Khyber Pakhtunkhwa,Hangu ,881,4323
3/18/2020,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur,994,4857
3/19/2020,1,0,0,Local - Social Contact,Punjab,Multan,581,3560
3/19/2020,8,0,0,Unknown,Punjab,Lahore,863,4984
3/19/2020,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan,771,4079
